Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2026-04-07,1304.6,1295.0,1308.3,1291.0,28.39M,-0.01%,28390000.0,-0.01,RELIANCE
2026-04-08,1347.8,1349.0,1350.6,1326.2,21.82M,3.31%,21820000.0,3.31,RELIANCE
2026-04-09,1330.0,1346.0,1350.0,1326.3,20.73M,-1.32%,20730000.0,-1.32,RELIANCE
2026-04-10,1350.2,1337.0,1352.3,1331.5,19.36M,1.52%,19360000.0,1.52,RELIANCE
2026-04-13,1315.1,1321.2,1327.6,1310.0,28.75M,-2.60%,28750000.0,-2.6,RELIANCE
2026-04-15,1344.1,1337.0,1347.0,1334.2,15.31M,2.21%,15310000.0,2.21,RELIANCE
2026-04-16,1343.3,1352.0,1353.8,1330.0,30.21M,-0.06%,30210000.0,-0.06,RELIANCE
2026-04-17,1365.0,1340.0,1368.4,1340.0,13.87M,1.62%,13870000.0,1.62,RELIANCE
2026-04-20,1363.3,1363.2,1373.0,1352.8,13.61M,-0.12%,13610000.0,-0.12,RELIANCE
2026-04-21,1353.3,1359.0,1369.8,1350.1,27.29M,-0.73%,27290000.0,-0.73,RELIANCE
2026-04-22,1362.1,1350.3,1366.0,1349.1,9.53M,0.65%,9530000.0,0.65,RELIANCE
