,HLL,TCS,RELIANCE,MSFT,HDBK
HLL,1.0,0.25888172907251505,0.4597672034558612,0.8748914590429894,0.4829204814877907
TCS,0.25888172907251505,1.0,-0.04858920164805414,0.3095121648523216,0.7923526773269646
RELIANCE,0.4597672034558612,-0.04858920164805414,1.0,0.4973437691160823,-0.008441482593170738
MSFT,0.8748914590429894,0.3095121648523216,0.4973437691160823,1.0,0.4810771309719255
HDBK,0.4829204814877907,0.7923526773269646,-0.008441482593170738,0.4810771309719255,1.0
