Date,Price,Open,High,Low,Vol.,Change %,Volume,Ticker,SMA10,EMA5,EMA10,Signal,Crossover,Return,Volatility
2026-04-06,1304.7,1359.0,1359.0,1290.0,29.27M,-3.39%,29270000.0,RELIANCE,,1334.1153846153848,1338.3441831683167,0,-1.0,-0.033913365420214725,
2026-04-07,1304.6,1295.0,1308.3,1291.0,28.39M,-0.01%,28390000.0,RELIANCE,,1322.7848341232227,1328.6571459383147,0,0.0,-7.664597225420788e-05,
2026-04-08,1347.8,1349.0,1350.6,1326.2,21.82M,3.31%,21820000.0,RELIANCE,,1331.9257142857143,1333.6292063671256,0,0.0,0.033113598037712855,
2026-04-09,1330.0,1346.0,1350.0,1326.3,20.73M,-1.32%,20730000.0,RELIANCE,,1331.2439048081594,1332.7547134213744,0,0.0,-0.013206707226591452,
2026-04-10,1350.2,1337.0,1352.3,1331.5,19.36M,1.52%,19360000.0,RELIANCE,,1337.8191593973038,1336.7236001916033,1,1.0,0.015187969924812084,
2026-04-13,1315.1,1321.2,1327.6,1310.0,28.75M,-2.60%,28750000.0,RELIANCE,,1330.0438526941737,1332.0190614919509,0,-1.0,-0.02599614871870848,
2026-04-15,1344.1,1337.0,1347.0,1334.2,15.31M,2.21%,15310000.0,RELIANCE,1336.01,1334.811920723826,1334.556737104441,1,1.0,0.022051555014827695,
2026-04-16,1343.3,1352.0,1353.8,1330.0,30.21M,-0.06%,30210000.0,RELIANCE,1335.95,1337.6743733545024,1336.3428764062403,1,0.0,-0.0005951938099842957,0.021996944448030353
2026-04-17,1365.0,1340.0,1368.4,1340.0,13.87M,1.62%,13870000.0,RELIANCE,1335.53,1346.853663540946,1342.0685172519168,1,0.0,0.01615424700364776,0.021760185881390927
2026-04-20,1363.3,1363.2,1373.0,1352.8,13.61M,-0.12%,13610000.0,RELIANCE,1336.81,1352.3640895361102,1346.235604468989,1,0.0,-0.0012454212454212632,0.0212485162699878
2026-04-21,1353.3,1359.0,1369.8,1350.1,27.29M,-0.73%,27290000.0,RELIANCE,1341.6699999999998,1352.6771320138002,1347.6023767677143,1,0.0,-0.007335142668524863,0.01774996606079623
2026-04-22,1362.1,1350.3,1366.0,1349.1,9.53M,0.65%,9530000.0,RELIANCE,1347.42,1355.8252772971819,1350.3749655619604,1,0.0,0.006502623217320647,0.01771198651509522
2026-04-23,1343.4,1346.0,1355.5,1340.7,16.39M,-1.37%,16390000.0,RELIANCE,1346.98,1351.677203008712,1349.0534990697727,1,0.0,-0.013728801115923783,0.015326472903532938
2026-04-24,1327.8,1340.0,1345.9,1325.0,11.74M,-1.16%,11740000.0,RELIANCE,1346.7599999999998,1343.7100490026708,1345.0573747290168,0,-1.0,-0.011612326931666028,0.015184007677433688
2026-04-27,1365.8,1313.0,1371.6,1311.0,24.67M,2.86%,24670000.0,RELIANCE,1348.3200000000002,1351.0783516863105,1348.9333976340745,1,1.0,0.028618767886730012,0.01714955135634015
2026-04-28,1388.9,1358.0,1395.2,1357.0,41.03M,1.69%,41030000.0,RELIANCE,1355.7,1363.6912573842142,1356.3641800537396,1,0.0,0.016913164445746087,0.014769071001079711
2026-04-29,1430.0,1392.0,1432.1,1392.0,30.54M,2.96%,30540000.0,RELIANCE,1364.29,1385.800820568782,1369.998912312668,1,0.0,0.029591763265893745,0.01585634015610931
2026-03-30,358.96,361.89,365.36,356.28,44.80M,0.61%,44800000.0,MSFT,,358.96,358.96,0,,,
2026-03-31,370.17,364.55,372.9,363.07,45.24M,3.12%,45240000.0,MSFT,,365.686,365.12549999999993,1,1.0,0.03122910630710951,
2026-04-01,369.37,373.49,373.99,368.2,29.42M,-0.22%,29420000.0,MSFT,,367.43105263157895,366.83176079734216,1,0.0,-0.0021611691925331744,
2026-04-02,373.46,367.2,373.64,364.15,24.10M,1.11%,24100000.0,MSFT,,369.9353846153846,369.0154702970297,1,0.0,0.011072907924303488,
2026-04-06,372.88,373.49,373.73,369.5,16.15M,-0.16%,16149999.999999998,MSFT,,371.0657819905213,370.124871669183,1,0.0,-0.0015530445027579498,
2026-04-07,372.29,370.34,372.45,366.56,21.44M,-0.16%,21440000.0,MSFT,,371.5131278195489,370.68723028416605,1,0.0,-0.0015822784810125556,
2026-04-08,374.33,384.98,385.0,371.41,33.06M,0.55%,33060000.000000004,MSFT,,372.51045653229727,371.5649914521033,1,0.0,0.005479599237153687,
2026-04-09,373.07,372.5,373.5,367.05,30.44M,-0.34%,30440000.0,MSFT,,372.70454401268836,371.90738814979625,1,0.0,-0.0033660139449148696,
2026-04-10,370.87,372.98,375.64,370.03,28.11M,-0.59%,28110000.0,MSFT,,372.07669761619115,371.68168879103854,1,0.0,-0.0058970166456696615,
2026-04-13,384.37,373.61,384.54,371.02,35.75M,3.64%,35750000.0,MSFT,371.977,376.24678069797505,374.3469467838026,1,0.0,0.03640089519238554,
2026-04-14,393.11,387.92,394.69,386.52,37.50M,2.27%,37500000.0,MSFT,375.392,381.9335992210121,378.1800039812733,1,0.0,0.022738507167572974,0.01553699448018049
2026-04-15,411.22,398.0,414.37,396.73,45.06M,4.61%,45060000.0,MSFT,379.49699999999996,391.7715573675677,384.7813347159115,1,0.0,0.04606853043677339,0.01832877842977318
2026-04-16,420.26,419.86,420.82,412.14,41.64M,2.20%,41640000.0,MSFT,384.586,401.3167503188576,391.74470577851207,1,0.0,0.021983366567773777,0.018031255843005065
2026-04-17,422.79,424.82,431.58,420.69,48.57M,0.60%,48570000.0,MSFT,389.519,408.49910327204907,397.7511429834273,1,0.0,0.0060200828058820655,0.018165742512205776
2026-04-20,418.07,421.14,423.33,416.3,27.58M,-1.12%,27580000.0,MSFT,394.038,411.6967044096177,401.6370099544062,1,0.0,-0.01116393481397393,0.019222929883829214
2026-04-21,424.16,420.24,427.18,417.2,32.05M,1.46%,32049999.999999996,MSFT,399.225,415.8574707854146,405.90418179701015,1,0.0,0.014566938550960362,0.018656062260970684
2026-04-22,432.92,426.18,433.7,423.67,29.38M,2.07%,29380000.0,MSFT,405.084,421.5507589789932,410.9837486180774,1,0.0,0.020652583930592217,0.018567686364799878
2026-04-23,415.75,419.89,423.66,411.41,38.31M,-3.97%,38310000.0,MSFT,409.35200000000003,419.61586342593233,411.8743832068167,1,0.0,-0.0396609073269889,0.024960221293217164
2026-04-24,424.62,416.97,424.95,415.8,27.46M,2.13%,27460000.0,MSFT,414.72700000000003,421.2846617338395,414.24410941790245,1,0.0,0.021334936861094445,0.024369720535414113
2026-04-27,424.82,422.38,427.11,417.07,30.87M,0.05%,30870000.0,MSFT,418.77200000000005,422.46346232168065,416.2023878290325,1,0.0,0.0004710093730864173,0.023308265984655272
2026-04-28,429.25,424.57,429.92,421.9,30.44M,1.04%,30440000.0,MSFT,422.38599999999997,424.7260951734839,418.61028373991724,1,0.0,0.01042794595358032,0.022899902109412833
2021-07-12,741.65,749.14,749.14,740.16,14.46M,919.92%,14460000.0,HDBK,,741.65,741.65,0,,,
2021-07-13,749.06,746.19,751.18,740.21,18.18M,1.00%,18180000.0,HDBK,,746.096,745.7255,1,1.0,0.009991235758106898,
2021-07-14,747.71,746.89,751.8,743.7,9.79M,-0.18%,9790000.0,HDBK,,746.8605263157893,746.5232558139535,1,0.0,-0.0018022588310681043,
2021-07-15,758.46,750.63,761.48,747.96,10.44M,1.44%,10440000.0,HDBK,,751.6787692307693,750.4558811881187,1,0.0,0.014377231814473479,
2021-07-16,759.29,762.08,763.08,757.52,5.17M,0.11%,5170000.0,HDBK,,754.6006161137441,752.9919164330112,1,0.0,0.0010943227065367545,
2021-07-19,733.67,741.65,742.58,731.18,25.11M,-3.37%,25110000.0,HDBK,,746.9522857142858,747.973347321227,0,-1.0,-0.03374204849267082,
2021-07-20,719.78,719.21,725.2,716.29,24.17M,-1.89%,24170000.0,HDBK,,737.331792132103,741.1798831708109,0,0.0,-0.018932217481974156,
2021-07-22,722.55,726.24,732.43,720.71,13.21M,0.38%,13210000.0,HDBK,,732.2044678826329,736.9414949669657,0,0.0,0.0038483981216481666,
2021-07-23,719.58,723.95,726.92,715.87,13.13M,-0.41%,13130000.0,HDBK,,727.8839246778991,733.1642412149458,0,0.0,-0.004110442183931751,
2021-07-26,715.49,713.23,720.21,712.28,13.17M,-0.57%,13170000.0,HDBK,736.7239999999999,723.6797089185696,729.4516578862122,0,0.0,-0.005683871147058039,
2021-07-27,718.09,716.27,723.15,716.27,22.40M,0.36%,22400000.0,HDBK,734.368,721.7946797525971,727.1306132228442,0,0.0,0.0036338732896337156,0.014091040744321456
2021-07-28,706.89,715.74,717.56,700.26,20.67M,-1.56%,20670000.0,HDBK,730.1510000000001,716.7878639031375,723.0865757453531,0,0.0,-0.01559693074684243,0.013762537947637266
2021-07-29,707.36,712.35,713.2,704.9,13.70M,0.07%,13700000.0,HDBK,726.116,713.6290116894506,719.9999325026575,0,0.0,0.0006648842111220965,0.013861759064072377
2021-07-30,711.45,707.74,714.1,702.23,11.66M,0.58%,11660000.0,HDBK,721.415,712.9001778485017,718.3457483832514,0,0.0,0.005782062881700911,0.012715166596377147
2021-08-02,709.56,715.72,715.72,706.37,13.26M,-0.27%,13260000.0,HDBK,716.442,711.7842368043507,716.6655234852681,0,0.0,-0.0026565464895637048,0.012526591774909617
2021-08-03,715.57,703.25,718.16,703.25,12.03M,0.85%,12030000.0,HDBK,714.632,713.048081996576,716.4579672522908,0,0.0,0.008470037769885641,0.009013337045922266
2021-08-04,730.83,718.71,735.42,718.21,22.05M,2.13%,22050000.0,HDBK,715.737,718.9814100838056,719.160224875881,0,0.0,0.021325656469667553,0.00979433559211874
2021-08-05,740.58,731.73,751.65,726.89,18.82M,1.33%,18820000.0,HDBK,717.54,726.1858148405919,723.1627818289015,1,1.0,0.013340995854028925,0.010476210221464732
2021-08-06,744.47,739.93,748.14,735.17,13.34M,0.53%,13340000.0,HDBK,720.029,732.2832937570556,727.1243220356007,1,0.0,0.0052526398228416316,0.010233677273345919
2021-08-09,750.08,744.15,751.8,736.17,11.00M,0.75%,11000000.0,HDBK,723.488,738.2173137012356,731.3748963226146,1,0.0,0.007535562212043434,0.00976533270123244
2021-08-10,751.95,742.65,757.99,742.65,14.84M,0.25%,14840000.0,HDBK,726.874,742.7957937209306,735.1719671859748,1,0.0,0.002493067406143412,0.009786787676829719
2021-08-11,745.62,755.57,757.54,743.67,12.59M,-0.84%,12590000.0,HDBK,730.7470000000001,743.7373216559245,737.0948718823257,1,0.0,-0.008418112906443342,0.00828354968685673
2021-08-12,748.84,746.64,751.93,742.8,8.60M,0.43%,8600000.0,HDBK,734.8950000000001,745.4383660084795,739.2516979126589,1,0.0,0.0043185536868646235,0.00813170275130022
2021-08-13,761.21,748.74,763.6,748.64,16.66M,1.65%,16660000.0,HDBK,739.8710000000001,750.6958896526733,743.2767123929892,1,0.0,0.016518882538326007,0.008817165149245961
2021-08-16,763.4,761.18,765.6,758.84,6.25M,0.29%,6250000.0,HDBK,745.255,754.930760811692,746.9598964078817,1,0.0,0.0028769984629732903,0.008315870011537076
