Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2026-04-23,2366.4,2336.0,2400.0,2336.0,2.06M,-0.10%,2060000.0,-0.1,HLL,2303.64,2223.06,,2307.009607937385,2246.62673186829,2183.207881701326,1,0.0
2026-04-24,2327.3,2388.6,2388.6,2299.0,1.68M,-1.65%,1680000.0,-1.65,HLL,2320.94,2242.4700000000003,,2313.773071958257,2261.294598801328,2196.9309405869144,1,0.0
2026-04-27,2328.3,2334.9,2362.8,2325.0,1.10M,0.04%,1100000.0,0.04,HLL,2340.3,2259.77,,2318.615381305505,2273.4773990192684,2209.4422795786368,1,0.0
2026-04-28,2289.5,2321.0,2334.4,2281.1,1.63M,-1.67%,1630000.0,-1.67,HLL,2336.06,2276.0,,2308.91025420367,2276.390599197583,2217.0668243806713,1,0.0
2026-04-29,2317.1,2305.0,2349.6,2291.0,1.78M,1.21%,1780000.0,1.21,HLL,2325.7200000000003,2291.95,2200.95,2311.640169469113,2283.792308434386,2226.593793487274,1,0.0
2026-03-30,2358.9,2375.1,2398.0,2346.2,6.80M,-1.29%,6800000.0,-1.29,TCS,,,,2358.9,2358.9,2358.9,0,
2026-04-01,2408.2,2429.0,2472.0,2397.9,4.13M,2.09%,4130000.0,2.09,TCS,,,,2375.3333333333335,2367.8636363636365,2363.595238095238,1,1.0
2026-04-02,2450.7,2386.0,2469.9,2375.7,5.38M,1.76%,5380000.0,1.76,TCS,,,,2400.4555555555557,2382.92479338843,2371.8909297052155,1,0.0
2026-04-06,2473.9,2474.0,2482.0,2448.2,2.57M,0.95%,2570000.0,0.95,TCS,,,,2424.9370370370375,2399.4657400450787,2381.6060792570997,1,0.0
2026-04-07,2539.8,2461.0,2543.9,2448.0,4.52M,2.66%,4520000.0,2.66,TCS,2446.3,,,2463.224691358025,2424.9810600368824,2396.6721669469,1,0.0
2026-04-08,2559.2,2572.0,2580.3,2540.1,4.77M,0.76%,4770000.0,0.76,TCS,2486.3599999999997,,,2495.2164609053502,2449.3845036665402,2412.151008190052,1,0.0
2026-04-09,2589.0,2554.0,2605.0,2531.1,5.63M,1.16%,5630000.0,1.16,TCS,2522.5199999999995,,,2526.477640603567,2474.7691393635328,2428.9937693148086,1,0.0
2026-04-10,2524.3,2565.8,2565.8,2501.1,10.48M,-2.50%,10480000.0,-2.5,TCS,2537.2400000000002,,,2525.7517604023783,2483.7747503883447,2438.0705531895887,1,0.0
