Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover,Daily_Return,Volatility_5,Volatility_10,Volatility_20,Volatility_Annual
2026-04-21,2610.5,2560.0,2614.0,2560.0,2.72M,1.20%,2720000.0,1.2,TCS,2580.68,2558.83,,2578.86421490501,2547.28900710793,2497.1118337806315,1,0.0,0.011978601333540118,0.013471498013594038,0.018166309557231957,,0.3297819160007556
2026-04-22,2538.5,2580.0,2580.0,2503.6,5.23M,-2.76%,5230000.0,-2.76,TCS,2577.4,2558.7,,2565.4094766033404,2545.691005815579,2501.0535638967617,1,0.0,-0.02758092319479022,0.015612558091611856,0.019228839980003062,,0.3297819160007556
2026-04-23,2521.8,2529.0,2559.5,2516.3,2.51M,-0.66%,2510000.0,-0.66,TCS,2566.38,2554.96,,2550.8729844022273,2541.3471865763827,2503.0294149542133,1,0.0,-0.0065786882016938275,0.014678981146007419,0.019136169857095504,,0.3297819160007556
2026-04-24,2396.9,2488.0,2505.0,2388.8,5.11M,-4.95%,5110000.0,-4.95,TCS,2529.46,2535.75,,2499.5486562681517,2515.084061744313,2492.921851625241,0,-1.0,-0.04952811483860742,0.024245565642117488,0.023756062500346096,,0.3297819160007556
2026-04-27,2447.6,2396.9,2459.0,2396.9,5.85M,2.12%,5850000.0,2.12,TCS,2503.06,2528.08,,2482.232437512101,2502.8142323362563,2488.6054848037893,0,0.0,0.021152321748925562,0.02888221839849562,0.024436378054294543,,0.3297819160007556
2026-04-28,2444.7,2444.0,2487.0,2427.4,4.51M,-0.12%,4510000.0,-0.12,TCS,2469.9,2525.29,,2469.7216250080673,2492.2480082751185,2484.424010060571,0,0.0,-0.0011848341232227888,0.026896985926774603,0.023634596920141904,,0.3297819160007556
2026-04-29,2465.0,2451.0,2487.5,2447.6,2.84M,0.83%,2840000.0,0.83,TCS,2455.2,2516.3,2504.725,2468.1477500053784,2487.2938249523695,2482.5741043405164,0,0.0,0.008303677342823335,0.026735390184323846,0.020768736962020463,,0.3297819160007556
2026-03-30,1343.9,1335.0,1365.0,1334.1,24.39M,-0.31%,24390000.0,-0.31,RELIANCE,,,,1343.9,1343.9,1343.9,0,,,,,,0.3083484161322957
2026-04-01,1369.2,1384.2,1384.4,1362.9,14.40M,1.88%,14400000.0,1.88,RELIANCE,,,,1352.3333333333335,1348.5,1346.309523809524,1,1.0,0.018825805491480052,,,,0.3083484161322957
2026-04-02,1350.5,1357.0,1358.2,1328.0,21.28M,-1.37%,21280000.0,-1.37,RELIANCE,,,,1351.7222222222224,1348.8636363636363,1346.7086167800458,1,0.0,-0.013657610283377197,,,,0.3083484161322957
2026-04-06,1304.7,1359.0,1359.0,1290.0,29.27M,-3.39%,29270000.0,-3.39,RELIANCE,,,,1336.0481481481484,1340.8338842975206,1342.707796134327,0,-1.0,-0.033913365420214725,,,,0.3083484161322957
2026-04-07,1304.6,1295.0,1308.3,1291.0,28.39M,-0.01%,28390000.0,-0.01,RELIANCE,1334.58,,,1325.5654320987655,1334.245905334335,1339.078482216772,0,0.0,-7.664597225420788e-05,,,,0.3083484161322957
2026-04-08,1347.8,1349.0,1350.6,1326.2,21.82M,3.31%,21820000.0,3.31,RELIANCE,1335.3600000000001,,,1332.9769547325104,1336.7102861826377,1339.9091029580318,0,0.0,0.033113598037712855,0.02638129070237849,,,0.3083484161322957
2026-04-09,1330.0,1346.0,1350.0,1326.3,20.73M,-1.32%,20730000.0,-1.32,RELIANCE,1327.52,,,1331.9846364883404,1335.4902341494308,1338.9653788667908,0,0.0,-0.013206707226591452,0.024767268765312996,,,0.3083484161322957
2026-04-10,1350.2,1337.0,1352.3,1331.5,19.36M,1.52%,19360000.0,1.52,RELIANCE,1327.4599999999998,,,1338.0564243255603,1338.1647370313524,1340.0353427842394,0,0.0,0.015187969924812084,0.025746261920543183,,,0.3083484161322957
2026-04-13,1315.1,1321.2,1327.6,1310.0,28.75M,-2.60%,28750000.0,-2.6,RELIANCE,1329.54,,,1330.4042828837069,1333.9711484801971,1337.6605482333596,0,0.0,-0.02599614871870848,0.02324396700692154,,,0.3083484161322957
2026-04-15,1344.1,1337.0,1347.0,1334.2,15.31M,2.21%,15310000.0,2.21,RELIANCE,1337.44,1336.01,,1334.9695219224714,1335.812757847434,1338.273829353992,0,0.0,0.022051555014827695,0.024847559843738494,,,0.3083484161322957
2026-04-16,1343.3,1352.0,1353.8,1330.0,30.21M,-0.06%,30210000.0,-0.06,RELIANCE,1336.54,1335.95,,1337.7463479483145,1337.1740746024461,1338.7525122726595,1,1.0,-0.0005951938099842957,0.01978766925896068,0.021996944448030353,,0.3083484161322957
2026-04-17,1365.0,1340.0,1368.4,1340.0,13.87M,1.62%,13870000.0,1.62,RELIANCE,1343.54,1335.53,,1346.8308986322097,1342.2333337656378,1341.2522730085966,1,0.0,0.01615424700364776,0.019431837050544246,0.021760185881390927,,0.3083484161322957
2026-04-20,1363.3,1363.2,1373.0,1352.8,13.61M,-0.12%,13610000.0,-0.12,RELIANCE,1346.16,1336.81,,1352.3205990881397,1346.0636367173397,1343.3520565315876,1,0.0,-0.0012454212454212632,0.01873120699500854,0.0212485162699878,,0.3083484161322957
2026-04-21,1353.3,1359.0,1369.8,1350.1,27.29M,-0.73%,27290000.0,-0.73,RELIANCE,1353.8,1341.6699999999998,,1352.64706605876,1347.3793391323686,1344.2994797190554,1,0.0,-0.007335142668524863,0.012593567089945069,0.01774996606079623,,0.3083484161322957
2026-04-22,1362.1,1350.3,1366.0,1349.1,9.53M,0.65%,9530000.0,0.65,RELIANCE,1357.3999999999999,1347.42,,1355.7980440391734,1350.0558229264834,1345.9947673648596,1,0.0,0.006502623217320647,0.008980609303484726,0.01771198651509522,,0.3083484161322957
2026-04-23,1343.4,1346.0,1355.5,1340.7,16.39M,-1.37%,16390000.0,-1.37,RELIANCE,1357.42,1346.98,,1351.6653626927823,1348.8456733034864,1345.7476466634444,1,0.0,-0.013728801115923783,0.011694603724757871,0.015326472903532938,,0.3083484161322957
2026-04-24,1327.8,1340.0,1345.9,1325.0,11.74M,-1.16%,11740000.0,-1.16,RELIANCE,1349.98,1346.7599999999998,,1343.7102417951883,1345.019187248307,1344.0383469812116,0,-1.0,-0.011612326931666028,0.008225031176857075,0.015184007677433688,,0.3083484161322957
2026-04-27,1365.8,1313.0,1371.6,1311.0,24.67M,2.86%,24670000.0,2.86,RELIANCE,1350.48,1348.3200000000002,,1351.0734945301256,1348.7975168395237,1346.1108853639535,1,1.0,0.028618767886730012,0.017587301499482278,0.01714955135634015,,0.3083484161322957
2026-04-28,1388.9,1358.0,1395.2,1357.0,41.03M,1.69%,41030000.0,1.69,RELIANCE,1357.6,1355.7,,1363.6823296867506,1356.0888774141556,1350.1860391388152,1,0.0,0.016913164445746087,0.018222180290206676,0.014769071001079711,,0.3083484161322957
2026-04-29,1430.0,1392.0,1432.1,1392.0,30.54M,2.96%,30540000.0,2.96,RELIANCE,1371.18,1364.29,1350.15,1385.7882197911672,1369.5272633388545,1357.7873687446422,1,0.0,0.029591763265893745,0.021262800677280074,0.01585634015610931,,0.3083484161322957
2026-03-30,358.96,361.89,365.36,356.28,44.80M,0.61%,44800000.0,0.61,MSFT,,,,358.96,358.96,358.96,0,,,,,,0.30234849041752704
2026-03-31,370.17,364.55,372.9,363.07,45.24M,3.12%,45240000.0,3.12,MSFT,,,,362.69666666666666,360.99818181818176,360.02761904761905,1,1.0,0.03122910630710951,,,,0.30234849041752704
2026-04-01,369.37,373.49,373.99,368.2,29.42M,-0.22%,29420000.0,-0.22,MSFT,,,,364.92111111111114,362.52033057851236,360.9173696145125,1,0.0,-0.0021611691925331744,,,,0.30234849041752704
2026-04-02,373.46,367.2,373.64,364.15,24.10M,1.11%,24100000.0,1.11,MSFT,,,,367.7674074074074,364.50936138241923,362.11190584170174,1,0.0,0.011072907924303488,,,,0.30234849041752704
2026-04-06,372.88,373.49,373.73,369.5,16.15M,-0.16%,16149999.999999998,-0.16,MSFT,368.96799999999996,,,369.47160493827164,366.0312956765248,363.13743861868255,1,0.0,-0.0015530445027579498,,,,0.30234849041752704
2026-04-07,372.29,370.34,372.45,366.56,21.44M,-0.16%,21440000.0,-0.16,MSFT,371.634,,,370.41106995884775,367.1692419171566,364.009111131189,1,0.0,-0.0015822784810125556,0.014435813475731028,,,0.30234849041752704
2026-04-08,374.33,384.98,385.0,371.41,33.06M,0.55%,33060000.000000004,0.55,MSFT,372.466,,,371.7173799725652,368.471197932219,364.99205292821864,1,0.0,0.005479599237153687,0.005849827513023243,,,0.30234849041752704
2026-04-09,373.07,372.5,373.5,367.05,30.44M,-0.34%,30440000.0,-0.34,MSFT,373.206,,,372.16825331504344,369.3073437627246,365.76138122076924,1,0.0,-0.0033660139449148696,0.006096632172492246,,,0.30234849041752704
2026-04-10,370.87,372.98,375.64,370.03,28.11M,-0.59%,28110000.0,-0.59,MSFT,372.688,,,371.735502210029,369.5914630785928,366.2479163426008,1,0.0,-0.0058970166456696615,0.0042270729559529515,,,0.30234849041752704
